# px,py,pz
41757.000000,38751.500000,69630.700000
46618.400000,39008.700000,29274.400000
40140.600000,36499.400000,57311.800000
22645.600000,48776.000000,48863.200000
21744.700000,70752.300000,20624.800000
39634.200000,37614.200000,56353.900000
24392.900000,62947.800000,62957.000000
10767.500000,49242.500000,68368.600000
38850.400000,20809.800000,47107.100000
29129.200000,60777.200000,31140.500000
66828.600000,65311.500000,40037.100000
1418.950000,51107.200000,56004.500000
64926.900000,52998.800000,54870.900000
56480.100000,22095.200000,14456.700000
64427.400000,13577.700000,32456.700000
20992.500000,48681.400000,48805.200000
1350.720000,27331.900000,18283.500000
68486.700000,58051.900000,53725.700000
20511.800000,54988.100000,60972.300000
17917.000000,68687.700000,2031.800000
57156.200000,587.917000,70096.200000
17594.400000,42601.300000,56951.300000
26456.700000,797.382000,61154.800000
18475.900000,34953.800000,32957.000000
12079.500000,50759.100000,47346.200000
72169.400000,34180.900000,6878.820000
10628.900000,36122.200000,61347.100000
12216.300000,51193.900000,46564.700000
28730.100000,1657.310000,73237.600000
51715.500000,46269.500000,25599.500000
62773.900000,7701.980000,38408.200000
68315.800000,65936.600000,55990.400000
34330.200000,69420.700000,50535.900000
60868.500000,36709.400000,74658.800000
57031.300000,32132.700000,24906.900000
29604.500000,42933.500000,53320.200000
38020.200000,66706.800000,67401.200000
32192.500000,34530.400000,8031.110000
50403.700000,46234.100000,25286.000000
58329.200000,285.309000,38836.000000
65202.000000,55144.000000,55215.000000
19192.900000,67576.400000,2267.070000
23622.000000,37183.800000,43431.400000
39953.600000,66890.900000,44095.900000
24905.300000,40468.100000,10737.800000
67146.400000,31621.700000,51932.400000
8694.600000,11334.700000,34905.600000
17182.800000,43424.500000,32135.700000
11141.000000,23294.000000,26529.800000
19479.800000,64805.800000,74237.200000
52120.500000,70319.500000,10921.600000
15134.100000,20689.000000,27820.700000
12551.900000,50110.700000,47951.400000
58857.400000,541.587000,38837.300000
57332.300000,66891.900000,29786.600000
74887.700000,26164.600000,16885.900000
20301.800000,55537.200000,60932.600000
63714.100000,3489.860000,206.857000
71181.900000,46112.800000,20877.000000
17612.100000,42847.600000,32568.400000
19375.100000,50528.500000,55748.300000
21950.100000,12102.000000,69599.100000
26224.000000,19438.900000,56791.700000
98.813600,26918.900000,15420.000000
66165.100000,66881.700000,40243.400000
25267.100000,11418.500000,12989.400000
52903.100000,71349.100000,41815.000000
68.097200,25099.400000,16569.400000
5342.580000,50292.100000,17260.800000
1499.460000,26570.100000,20067.000000
19860.400000,45043.400000,45941.200000
10265.000000,36298.800000,61180.500000
55737.200000,19089.100000,10181.600000
30176.900000,41588.800000,53060.500000
33922.100000,1430.730000,70985.400000
52439.900000,70931.500000,17565.700000
54424.900000,49005.100000,2287.470000
26504.800000,17150.900000,31504.700000
21917.900000,50048.100000,31739.700000
66619.700000,50996.300000,25681.800000
23190.900000,70173.500000,43326.400000
12201.700000,42687.400000,28352.800000
1647.950000,44589.500000,56905.100000
10513.600000,11002.600000,37830.400000
39527.800000,21104.200000,47297.200000
55555.000000,9588.450000,39189.300000
15500.000000,50725.100000,48870.900000
21357.800000,69290.700000,28042.400000
13441.200000,31731.900000,14021.400000
73160.400000,22384.500000,14116.400000
48054.200000,3914.580000,12129.800000
11332.100000,17460.300000,61182.800000
29491.500000,36554.600000,10747.900000
2711.730000,43721.700000,329.352000
19042.500000,73396.200000,8427.590000
39431.400000,37151.900000,37082.900000
70138.200000,41573.900000,30074.200000
51131.600000,23455.700000,767.470000
3556.770000,52301.600000,51634.100000
21948.600000,43543.200000,48941.300000
13236.700000,11488.600000,25815.000000
39128.200000,39592.000000,1694.450000
64638.400000,36223.800000,1101.520000
71242.200000,57572.200000,55448.800000
16679.400000,20710.500000,40210.900000
24125.100000,9007.590000,11125.300000
20228.700000,38754.300000,6077.660000
4134.690000,22439.900000,66355.700000
1900.800000,51228.100000,16772.800000
22438.200000,48289.700000,72004.500000
39941.000000,66302.100000,44486.600000
18303.800000,54839.100000,64970.100000
19363.800000,22931.500000,51490.300000
9090.100000,17649.600000,64741.000000
13411.000000,11086.400000,28625.500000
15309.800000,60074.400000,72441.600000
35776.200000,15719.100000,17792.400000
37437.600000,72446.400000,37721.700000
20479.000000,1404.080000,10262.700000
58850.100000,68830.800000,30101.400000
56672.700000,3745.010000,58229.200000
43829.500000,67513.200000,43977.500000
2096.990000,27225.700000,12127.000000
66370.900000,72616.600000,57699.700000
18764.300000,58959.500000,68001.900000
23082.000000,33994.600000,41965.400000
5339.080000,52196.400000,27215.300000
57063.700000,42466.300000,66045.400000
1438.150000,11005.200000,32707.800000
53720.100000,74178.100000,28255.700000
64465.900000,12187.100000,73687.300000
8493.580000,40633.300000,25488.300000
2888.340000,27341.100000,12479.600000
45714.100000,37005.300000,72022.100000
44934.300000,34181.600000,74490.900000
17932.300000,74881.200000,9070.790000
31482.600000,36465.500000,12968.700000
40765.500000,364.620000,71488.200000
53445.100000,30131.700000,1280.660000
39651.500000,6006.900000,72077.000000
66725.500000,64612.800000,39783.200000
61346.300000,17860.300000,10945.400000
67843.200000,52516.100000,55240.700000
41883.900000,787.678000,71652.200000
57633.200000,9829.120000,39599.100000
26074.700000,2960.980000,1882.040000
24840.500000,43398.200000,10222.600000
23708.200000,45622.600000,47827.300000
8073.520000,33359.700000,60348.700000
9451.800000,12298.800000,34791.800000
59243.700000,16290.100000,31756.000000
66863.400000,4981.540000,38553.500000
45568.100000,67892.400000,44673.600000
69114.900000,55592.300000,54143.500000
29341.900000,52495.500000,48340.900000
39632.300000,71907.000000,39578.300000
28869.200000,28769.300000,51210.100000
25732.100000,17340.600000,30836.700000
49911.400000,9765.690000,71052.100000
7183.710000,31813.200000,36965.500000
9333.290000,35500.200000,61130.500000
3134.430000,49944.300000,17046.000000
4497.490000,53339.900000,43622.500000
40680.800000,254.790000,70837.600000
40904.700000,998.693000,71898.100000
53746.900000,44402.400000,25244.200000
68649.500000,34847.400000,23580.700000
20945.000000,5393.790000,7293.500000
13218.900000,55401.200000,38156.900000
556.644000,37178.500000,61751.200000
18397.200000,41451.100000,57918.700000
24624.300000,6556.920000,936.252000
8981.120000,32807.300000,3092.970000
47233.000000,74020.600000,60142.500000
20711.900000,73783.100000,19285.200000
